gender,name
F,Lucille Ball
F,Laura Dern
F,Pauline Collins
F,Isabelle Adjani
F,Melanie Griffith
F,Sally Kirkland
F,Jane Alexander
F,Marsha Mason
M,Freddie Highmore
M,Michael J. Fox
M,Eddie Murphy
M,Yun-Fat Chow
?,Seth MacFarlane
M,Bruce Lee
M,Jet Li
M,Chuck Norris
M,Jean-Claude Van Damme
M,Sam Rockwell
M,Takashi Shimura
M,Richard E. Grant
M,Leslie Nielsen
M,Simon Pegg
M,John Malkovich
M,Michael Shannon
M,Martin Sheen
M,Christopher Guest
M,Alan Rickman
M,Jackie Earle Haley
M,Montgomery Clift
M,James Spader
M,Eric Bana
M,Romain Duris
M,Robert Shaw
F,Jacki Weaver
F,Bérénice Bejo
F,Hailee Steinfeld
F,Jennifer Jason Leigh
F,Kathleen Quinlan
F,Taraji P. Henson
F,Amy Ryan
F,Ruby Dee
F,Jill Clayburgh
F,Adriana Barraza
F,Rinko Kikuchi
F,Catherine Keener
F,Charlotte Rampling
F,Sophie Okonedo
F,Patricia Clarkson
F,Shohreh Aghdashloo
F,Lindsay Lohan
F,Michelle Trachtenberg
F,Chloë Sevigny
F,Lynn Redgrave
F,Rachel Griffiths
F,Margot Robbie
F,Lili Taylor
F,Robin Weigert
F,Lake Bell
M,Claude Rains
M,Steve Buscemi
M,John Rhys-Davies
M,Jean-Louis Trintignant
M,Joseph Cotten
M,Barry Pepper
M,Erich von Stroheim
M,Patrick Wilson
M,Christopher Lloyd
M,Ben Foster
M,Joel McCrea
M,Min-sik Choi
M,Ewan McGregor
M,Gael García Bernal
M,Bruno Ganz
M,Sean Astin
M,Irrfan Khan
M,Michael C. Hall
M,Roy Scheider
M,Casey Affleck
M,Gary Busey
M,Norman Reedus
M,Jeff Daniels
M,Stanley Tucci
M,Kiefer Sutherland
F,Léa Seydoux
F,Dakota Johnson
F,Julie Delpy
F,Linda Hamilton
F,Carrie Fisher
F,Pam Grier
?,Björk
F,Emily Browning
F,Juliette Lewis
F,Sarah Jessica Parker
F,Piper Laurie
?,Miley Cyrus
F,Lily Tomlin
F,Anna Friel
F,Gloria Stuart
F,Talia Shire
F,Gal Gadot
F,Sue Lyon
?,Olivia Newton-John
F,Minnie Driver
F,Teri Garr
F,Keri Russell
F,Jean Seberg
F,Sarah Polley
F,Kate Capshaw
M,Josh Brolin
M,Hal Holbrook
M,Djimon Hounsou
M,Matt Dillon
M,Alan Alda
M,Thomas Haden Church
M,Clive Owen
M,Ken Watanabe
M,Suraj Sharma
M,John C. Reilly
M,Michael Clarke Duncan
M,Haley Joel Osment
M,Greg Kinnear
M,Burt Reynolds
M,Robert Forster
M,Jason Schwartzman
M,William H. Macy
